Track ID,ROI ID,Track  (um),Track duration (s),Track speed (um/s),x1,y1,x2,y2
1,0002-0006-0060,1.203,130,0.009,51,13,70,0
2,0002-0007-0066,1.519,140,0.011,53,14,77,0
