Track ID,ROI ID,Track  (um),Track duration (s),Track speed (um/s),x1,y1,x2,y2
1,0002-0081-0134,4.431,170,-0.026,98,72,168,89
2,0002-0108-0138,5.001,700,-0.007,98,72,177,142
3,0002-0092-0183,6.646,240,-0.028,130,80,235,104
4,0002-0115-0177,5.824,690,-0.008,130,80,222,149
5,0002-0054-0133,7.026,500,-0.014,78,29,189,79
6,0002-0091-0129,6.457,1230,-0.005,78,29,180,152
7,0002-0108-0090,3.038,410,-0.007,66,87,114,128
8,0002-0113-0088,2.848,520,-0.005,66,87,111,139
9,0002-0087-0186,2.785,170,-0.016,163,78,207,95
10,0002-0110-0190,3.355,620,-0.005,163,78,216,140
11,0002-0059-0091,5.380,320,-0.017,48,42,133,74
12,0002-0099-0087,4.811,1130,-0.004,48,42,124,155
13,0002-0095-0128,4.874,280,-0.017,90,81,167,109
14,0002-0113-0124,4.304,650,-0.007,90,81,158,146
15,0002-0090-0148,6.267,270,-0.023,98,76,197,103
16,0002-0108-0143,5.697,630,-0.009,98,76,188,139
17,0002-0049-0098,5.444,370,-0.015,55,31,141,68
18,0002-0089-0089,4.368,1170,-0.004,55,31,124,148
19,0002-0050-0124,9.558,520,-0.018,48,24,199,76
20,0002-0080-0118,8.862,1110,-0.008,48,24,188,135
21,0002-0049-0061,2.532,250,-0.010,41,36,81,61
22,0002-0049-0059,2.342,260,-0.009,41,36,78,62
23,0002-0080-0164,5.317,180,0.030,122,89,206,71
24,0002-0107-0166,5.064,730,0.007,126,144,206,71
25,0002-0027-0144,1.139,90,-0.013,134,23,152,32
26,0002-0027-0143,1.076,90,-0.012,134,23,151,32
27,0002-0039-0106,5.760,400,-0.014,61,18,152,58
28,0002-0083-0103,5.317,1290,-0.004,61,18,145,147
29,0002-0078-0117,6.203,240,-0.026,68,66,166,90
30,0002-0105-0110,5.254,790,-0.007,68,66,151,145
31,0002-0060-0127,2.848,170,-0.017,104,51,149,68
32,0002-0099-0127,2.848,950,-0.003,104,51,149,146
33,0002-0047-0219,8.545,470,-0.018,151,23,286,70
34,0002-0093-0206,6.900,1390,-0.005,151,23,260,162
35,0002-0049-0165,8.356,580,-0.014,98,20,230,78
36,0002-0088-0151,6.646,1350,-0.005,98,20,203,155
37,0002-0073-0166,6.583,260,0.025,114,85,218,59
38,0002-0107-0171,6.013,950,0.006,123,154,218,59
39,0002-0048-0179,2.405,170,0.014,159,56,197,39
40,0002-0101-0172,3.165,1230,0.003,147,162,197,39
41,0002-0038-0175,1.582,130,-0.012,162,32,187,45
42,0002-0040-0169,0.760,160,-0.005,162,32,174,48
43,0002-0045-0206,0.760,60,0.013,200,47,212,41
44,0002-0046-0206,0.696,90,0.008,201,50,212,41
45,0002-0041-0131,3.925,220,-0.018,100,30,162,52
46,0002-0088-0124,3.038,1150,-0.003,100,30,148,145
47,0002-0076-0182,5.064,280,-0.018,142,62,222,90
48,0002-0105-0171,3.608,860,-0.004,142,62,199,148
49,0002-0046-0202,9.685,550,-0.018,125,18,278,73
50,0002-0084-0197,9.052,1320,-0.007,125,18,268,150
51,0002-0077-0180,10.191,350,-0.029,100,59,261,94
52,0002-0103-0173,9.242,880,-0.011,100,59,246,147
53,0002-0037-0226,5.634,280,-0.020,181,23,270,51
54,0002-0087-0221,5.064,1270,-0.004,181,23,261,150
55,0002-0079-0218,6.457,250,0.026,166,91,268,66
56,0002-0112-0227,5.191,900,0.006,186,156,268,66
57,0002-0041-0269,6.710,370,-0.018,216,23,322,60
58,0002-0087-0255,4.937,1280,-0.004,216,23,294,151
