Track ID,ROI ID,Track  (um),Track duration (s),Track speed (um/s),x1,y1,x2,y2
1,0002-0033-0222,10.888,500,-0.022,136,7,308,57
2,0002-0038-0221,10.761,610,-0.018,136,7,306,68
3,0002-0019-0173,5.127,230,-0.022,133,7,214,30
4,0002-0035-0155,2.722,550,-0.005,133,7,176,62
5,0002-0030-0241,5.317,360,-0.015,199,11,283,47
6,0002-0035-0225,3.355,470,-0.007,199,11,252,58
7,0002-0033-0093,5.127,300,0.017,52,47,133,17
8,0002-0038-0101,4.178,410,0.010,67,58,133,17
9,0002-0086-0120,7.723,370,-0.021,58,67,180,104
10,0002-0087-0119,7.659,390,-0.020,58,67,179,106
11,0002-0033-0061,6.773,340,0.020,8,49,115,15
12,0002-0037-0067,6.077,420,0.014,19,57,115,15
13,0002-0040-0147,9.811,610,-0.016,69,9,224,70
14,0002-0057-0145,9.558,950,-0.010,69,9,220,104
15,0002-0035-0149,12.407,550,-0.023,50,7,246,62
16,0002-0079-0142,11.521,1440,-0.008,50,7,232,151
17,0002-0049-0133,4.747,320,-0.015,96,32,171,64
18,0002-0069-0133,4.684,730,-0.006,96,32,170,105
19,0002-0050-0208,5.127,350,-0.015,167,33,248,68
20,0002-0090-0215,6.013,1140,-0.005,167,33,262,147
21,0002-0016-0135,3.861,200,-0.019,104,6,165,26
22,0002-0039-0151,5.950,660,-0.009,104,6,198,72
23,0002-0027-0118,7.026,390,-0.018,62,7,173,46
24,0002-0080-0116,6.900,1450,-0.005,62,7,171,152
25,0002-0030-0220,10.698,470,-0.023,135,6,304,53
26,0002-0056-0212,9.685,980,-0.010,135,6,288,104
27,0002-0044-0060,7.343,620,0.012,1,74,117,12
28,0002-0059-0073,5.697,920,0.006,27,104,117,12
29,0002-0079-0068,3.292,270,0.012,41,92,93,65
30,0002-0104-0072,2.659,790,0.003,51,144,93,65
31,0002-0029-0159,8.039,360,-0.022,95,11,222,47
32,0002-0077-0154,7.343,1320,-0.006,95,11,211,143
33,0002-0011-0110,1.646,90,-0.018,96,7,122,16
34,0002-0012-0107,1.266,100,-0.013,96,7,116,17
35,0002-0017-0105,4.178,180,-0.023,72,7,138,25
36,0002-0045-0103,3.925,750,-0.005,72,7,134,82
37,0002-0041-0111,12.787,660,0.019,10,73,212,7
38,0002-0074-0124,11.267,1330,0.008,34,140,212,7
39,0002-0035-0160,4.368,320,-0.014,125,18,194,50
40,0002-0086-0181,6.963,1340,-0.005,125,18,235,152
41,0002-0028-0149,8.672,390,-0.022,80,8,217,47
42,0002-0077-0145,8.102,1380,-0.006,80,8,208,146
43,0002-0016-0192,4.811,190,-0.025,153,6,229,25
44,0002-0027-0191,4.747,410,-0.012,153,6,228,47
45,0002-0045-0199,13.293,660,-0.020,94,11,304,77
46,0002-0061-0205,14.053,980,-0.014,94,11,316,109
47,0002-0055-0177,1.962,290,-0.007,162,40,193,69
48,0002-0056-0175,1.646,310,-0.005,162,40,188,71
49,0002-0035-0141,10.761,550,-0.020,55,7,225,62
50,0002-0092-0123,8.545,1680,-0.005,55,7,190,175
51,0002-0013-0152,2.722,140,-0.019,130,6,173,20
52,0002-0013-0147,2.089,150,-0.014,130,6,163,21
53,0002-0042-0241,5.001,270,-0.019,201,28,280,55
54,0002-0043-0241,5.001,300,-0.017,201,28,280,58
55,0002-0057-0145,6.013,360,-0.017,97,38,192,74
56,0002-0076-0144,5.824,740,-0.008,97,38,189,112
57,0002-0036-0174,9.748,550,-0.018,96,8,250,63
58,0002-0075-0167,8.862,1320,-0.007,96,8,236,140
59,0002-0050-0180,8.862,460,-0.019,109,26,249,72
60,0002-0060-0169,7.469,670,-0.011,109,26,227,93
61,0002-0052-0177,9.622,480,-0.020,101,27,253,75
62,0002-0092-0177,9.558,1290,-0.007,101,27,252,156
63,0002-0028-0123,7.153,440,-0.016,66,5,179,49
64,0002-0077-0122,6.963,1430,-0.005,66,5,176,148
65,0002-0044-0220,16.395,690,-0.024,90,9,349,78
66,0002-0081-0202,14.053,1430,-0.010,90,9,312,152
67,0002-0041-0182,10.951,620,-0.018,95,9,268,71
68,0002-0051-0181,10.824,820,-0.013,95,9,266,91
69,0002-0040-0266,12.660,630,-0.020,166,9,366,72
70,0002-0083-0255,11.331,1490,-0.008,166,9,345,158
71,0002-0069-0131,2.469,420,-0.006,111,47,150,89
72,0002-0069-0130,2.279,430,-0.005,111,47,147,90
73,0002-0041-0149,12.976,660,-0.020,47,7,252,73
74,0002-0083-0140,11.710,1500,-0.008,47,7,232,157
