Track ID,ROI ID,Track  (um),Track duration (s),Track speed (um/s),x1,y1,x2,y2
1,0002-0032-0100,2.405,220,-0.011,81,21,119,43
2,0002-0034-0099,2.215,260,-0.009,81,21,116,47
3,0002-0064-0102,6.520,910,-0.007,51,18,154,109
4,0002-0085-0085,4.304,1330,-0.003,51,18,119,151
5,0002-0029-0092,2.279,280,-0.008,74,14,110,42
6,0002-0031-0091,2.215,320,-0.007,74,14,109,46
7,0002-0073-0042,1.962,210,0.009,27,83,58,62
8,0002-0075-0047,1.519,250,0.006,34,87,58,62
9,0002-0025-0051,0.823,110,0.007,45,30,58,19
10,0002-0026-0052,0.823,130,0.006,45,32,58,19
11,0002-0053-0041,0.696,90,0.008,36,57,47,48
12,0002-0054-0042,0.570,100,0.006,38,58,47,48
13,0002-0102-0045,1.646,250,0.007,32,114,58,89
14,0002-0103-0047,1.329,270,0.005,37,116,58,89
15,0002-0081-0059,2.469,360,0.007,40,98,79,62
16,0002-0081-0061,2.215,380,0.006,44,100,79,62
17,0002-0104-0038,2.089,320,0.007,21,120,54,88
18,0002-0115-0042,1.646,530,0.003,28,141,54,88
19,0002-0035-0088,1.962,320,0.006,72,51,103,19
20,0002-0037-0095,1.899,380,0.005,79,56,109,18
21,0002-0097-0069,3.228,470,0.007,44,120,95,73
22,0002-0107-0073,2.848,670,0.004,50,140,95,73
23,0002-0047-0128,2.722,430,-0.006,107,26,150,69
24,0002-0048-0127,2.532,450,-0.006,107,26,147,71
25,0002-0060-0131,4.051,570,-0.007,99,31,163,88
26,0002-0077-0130,3.988,910,-0.004,99,31,162,122
27,0002-0031-0040,0.760,120,0.006,34,37,46,25
28,0002-0032-0042,0.570,140,0.004,37,39,46,25
29,0002-0043-0068,2.595,290,-0.009,47,28,88,57
30,0002-0086-0061,1.646,1150,-0.001,47,28,73,143
