Track ID,ROI ID,Track  (um),Track duration (s),Track speed (um/s),x1,y1,x2,y2
1,0002-0062-0086,9.432,420,0.022,12,83,161,41
2,0002-0101-0098,8.039,1200,0.007,34,161,161,41
3,0002-0047-0071,5.950,240,0.025,24,58,118,34
4,0002-0078-0096,5.317,1130,0.005,54,135,138,22
5,0002-0054-0103,12.850,540,0.024,1,81,204,27
6,0002-0090-0114,11.394,1250,0.009,24,152,204,27
7,0002-0043-0119,6.203,280,0.022,69,56,167,28
8,0002-0105-0125,5.254,1530,0.003,84,181,167,28
9,0002-0033-0097,6.836,260,-0.026,42,20,150,46
10,0002-0112-0092,6.267,1830,-0.003,42,20,141,203
11,0002-0040-0107,6.583,390,-0.017,55,20,159,59
12,0002-0100-0094,5.001,1590,-0.003,55,20,134,179
13,0002-0053-0124,15.572,580,0.027,1,81,247,23
14,0002-0056-0127,15.192,640,0.024,7,87,247,23
15,0002-0043-0145,9.685,420,-0.023,68,21,221,63
16,0002-0099-0142,9.242,1540,-0.006,68,21,214,175
17,0002-0054-0186,13.040,510,-0.026,82,28,288,79
18,0002-0110-0172,11.267,1630,-0.007,82,28,260,191
19,0002-0042-0093,3.228,180,0.018,67,50,118,32
20,0002-0042-0096,2.912,190,0.015,72,51,118,32
21,0002-0053-0153,12.787,500,-0.026,51,27,253,77
22,0002-0104-0141,11.331,1520,-0.007,51,27,230,179
23,0002-0049-0135,10.065,380,0.026,55,67,214,29
24,0002-0093-0153,7.849,1270,0.006,90,156,214,29
25,0002-0047-0133,11.331,420,-0.027,43,25,222,67
26,0002-0065-0124,10.128,780,-0.013,43,25,203,103
27,0002-0045-0119,12.787,530,-0.024,18,18,220,71
28,0002-0090-0102,10.571,1420,-0.007,18,18,185,160
29,0002-0061-0132,7.406,350,-0.021,73,43,190,78
30,0002-0115-0132,7.343,1450,-0.005,73,43,189,188
31,0001-0059-0128,7.216,280,-0.026,71,45,185,73
32,0002-0064-0114,5.380,370,-0.015,71,45,156,82
33,0002-0063-0064,7.026,270,0.026,9,76,120,49
34,0002-0106-0080,5.127,1120,0.005,39,161,120,49
35,0002-0054-0127,8.989,400,-0.022,56,33,198,73
36,0002-0094-0117,7.786,1210,-0.006,56,33,179,154
37,0002-0038-0125,6.963,280,-0.025,69,24,179,52
38,0002-0054-0136,8.356,590,-0.014,69,24,201,83
39,0002-0031-0103,6.520,220,-0.030,51,20,154,42
40,0002-0099-0097,5.760,1580,-0.004,51,20,142,178
41,0002-0041-0230,11.647,470,-0.025,137,17,321,64
42,0002-0078-0222,10.634,1200,-0.009,137,17,305,137
43,0002-0086-0189,10.444,420,-0.025,106,65,271,107
44,0002-0106-0187,10.128,820,-0.012,106,65,266,147
45,0002-0066-0293,19.306,960,-0.020,141,17,446,113
46,0002-0088-0284,18.040,1400,-0.013,141,17,426,157
47,0002-0089-0176,12.027,580,-0.021,81,59,271,117
48,0002-0090-0175,11.964,600,-0.020,81,59,270,119
49,0002-0032-0134,5.064,200,-0.025,94,21,174,41
50,0002-0085-0135,5.127,1260,-0.004,94,21,175,147
51,0002-0051-0131,2.026,140,-0.014,114,44,146,58
52,0002-0052-0131,2.089,150,-0.014,114,44,147,59
53,0002-0046-0121,6.900,320,-0.022,67,29,176,61
54,0002-0098-0122,6.900,1360,-0.005,67,29,176,165
55,0002-0033-0112,7.596,270,-0.028,51,19,171,46
56,0002-0064-0112,7.596,880,-0.009,51,19,171,107
57,0002-0064-0072,2.089,230,-0.009,55,53,88,76
58,0002-0066-0072,2.089,250,-0.008,55,53,88,78
59,0002-0037-0065,1.519,130,0.012,53,44,77,31
60,0002-0038-0066,1.393,140,0.010,55,45,77,31
61,0002-0034-0169,7.026,330,-0.021,113,18,224,51
62,0002-0088-0151,4.747,1400,-0.003,113,18,188,158
63,0002-0030-0166,6.836,220,-0.031,112,19,220,41
64,0002-0078-0162,6.393,1190,-0.005,112,19,213,138
65,0002-0108-0123,7.596,340,-0.022,62,90,182,124
66,0002-0124-0114,6.520,670,-0.010,62,90,165,157
67,0002-0085-0122,10.128,510,-0.020,42,60,202,111
68,0002-0103-0118,9.685,870,-0.011,42,60,195,147
69,0002-0031-0068,4.241,170,-0.025,34,22,101,39
70,0002-0033-0067,4.178,210,-0.020,34,22,100,43
71,0002-0027-0079,2.532,90,-0.028,58,22,98,31
72,0002-0080-0080,2.659,1150,-0.002,58,22,100,137
73,0002-0118-0084,3.735,160,-0.023,54,109,113,125
74,0002-0126-0085,3.798,330,-0.012,54,109,114,142
75,0002-0042-0095,6.963,310,-0.022,39,27,149,58
76,0002-0044-0096,7.090,350,-0.020,39,27,151,62
77,0002-0039-0161,7.912,280,-0.028,98,24,223,52
78,0002-0083-0161,7.912,1170,-0.007,98,24,223,141
