Track ID,ROI ID,Track  (um),Track duration (s),Track speed (um/s),x1,y1,x2,y2
1,0071-0068,4.684,710,0.007,31,107,105,36
2,0072-0073,4.051,720,0.006,40,108,104,36
3,0022-0152,0.570,140,-0.004,148,14,157,28
4,0022-0151,0.316,140,-0.002,149,14,154,28
5,0098-0147,1.582,180,-0.009,134,89,159,107
6,0099-0146,1.329,190,-0.007,135,89,156,108
7,0104-0232,1.772,300,-0.006,218,89,246,119
8,0104-0229,1.203,290,-0.004,219,90,238,119
9,0020-0051,1.076,170,0.006,43,29,60,12
10,0027-0051,1.393,300,0.005,39,42,61,12
11,0068-0142,0.886,140,-0.006,135,61,149,75
12,0069-0141,0.633,130,-0.005,135,62,145,75
13,0037-0124,0.633,180,-0.004,118,27,128,45
14,0036-0122,0.570,180,-0.003,117,27,126,45
15,0024-0089,1.013,190,-0.005,81,14,97,33
16,0027-0089,0.949,240,-0.004,81,15,96,39
17,0035-0190,0.633,100,-0.006,185,30,195,40
18,0037-0189,0.443,120,-0.004,186,30,193,42
19,0068-0051,2.152,1020,-0.002,33,17,67,119
20,0067-0046,1.772,1030,-0.002,32,16,60,119
21,0031-0021,0.633,350,0.002,16,48,26,13
22,0032-0023,0.443,360,0.001,19,49,26,13
