Track ID,ROI ID,Track  (um),Track duration (s),Track speed (um/s),x1,y1,x2,y2
1,0026-0162,2.215,150,-0.015,145,19,180,34
2,0048-0197,6.077,580,-0.010,148,19,244,77
3,0056-0218,10.065,590,0.017,139,85,298,26
4,0073-0259,5.064,930,0.005,219,119,299,26
5,0067-0201,19.243,1020,0.019,49,118,353,16
6,0067-0312,5.950,1040,0.006,264,119,358,15
7,0027-0203,7.279,230,-0.032,145,15,260,38
8,0067-0232,11.077,1030,-0.011,144,16,319,119
9,0056-0274,18.104,820,-0.022,131,15,417,97
10,0065-0251,14.812,980,-0.015,134,15,368,113
11,0036-0046,5.887,350,0.017,0,54,93,19
12,0053-0066,3.798,710,0.005,36,89,96,18
13,0065-0400,23.484,1070,-0.022,214,12,585,119
14,0066-0277,7.659,1070,-0.007,216,12,337,119
15,0066-0088,6.330,1030,-0.006,38,15,138,118
16,0068-0064,2.469,1010,-0.002,44,18,83,119
17,0068-0254,19.876,1040,-0.019,96,15,410,119
18,0067-0166,8.799,1030,-0.009,97,16,236,119
19,0093-0099,8.862,490,0.018,28,117,168,68
20,0095-0140,3.102,490,0.006,115,119,164,70
21,0038-0211,10.508,470,-0.022,127,15,293,62
22,0040-0206,9.685,480,-0.020,129,16,282,64
23,0028-0300,8.039,260,0.031,236,41,363,15
24,0067-0309,6.900,1030,0.007,255,119,364,16
25,0027-0173,6.393,220,-0.029,122,16,223,38
26,0038-0194,8.419,420,-0.020,128,17,261,59
27,0051-0234,15.698,700,-0.022,109,15,357,85
28,0067-0198,11.014,1030,-0.011,111,16,285,119
29,0041-0205,11.141,490,0.023,116,66,292,17
30,0057-0195,16.458,820,0.020,65,98,325,16
31,0028-0215,6.773,250,-0.027,162,16,269,41
32,0067-0248,10.951,1030,-0.011,161,16,334,119
33,0044-0243,12.027,450,0.027,148,66,338,21
34,0070-0279,7.343,990,0.007,221,119,337,20
35,0021-0209,3.102,100,-0.031,185,16,234,26
36,0034-0230,5.570,360,-0.015,186,15,274,51
37,0063-0169,18.104,950,0.019,25,110,311,15
38,0064-0176,17.091,980,0.017,41,113,311,15
39,0064-0320,21.838,940,-0.023,147,16,492,110
40,0067-0207,7.343,1030,-0.007,148,16,264,119
41,0027-0176,4.684,180,-0.026,138,17,212,35
42,0055-0156,2.089,760,-0.003,140,17,173,93
43,0028-0098,5.127,190,0.027,58,37,139,18
44,0053-0116,6.330,730,0.009,65,89,165,16
45,0028-0230,5.444,250,0.022,187,40,273,15
46,0067-0215,7.533,1030,0.007,155,119,274,16
47,0034-0097,4.051,220,0.018,65,45,129,23
48,0062-0078,6.583,780,0.008,26,100,130,22
49,0025-0148,2.595,160,-0.016,127,17,168,33
50,0025-0130,2.595,200,-0.013,110,15,151,35
51,0021-0244,2.659,110,0.024,222,26,264,15
52,0023-0255,1.519,160,0.009,242,31,266,15
53,0032-0251,8.102,310,0.026,187,47,315,16
54,0067-0252,9.811,1030,0.010,174,119,329,16
55,0035-0245,8.166,400,-0.020,181,15,310,55
56,0068-0262,10.508,1030,-0.010,179,16,345,119
57,0022-0078,1.013,140,-0.007,70,15,86,29
58,0022-0073,0.949,130,-0.007,65,16,80,29
59,0085-0129,11.331,600,0.019,39,115,218,55
60,0087-0177,5.001,650,0.008,137,119,216,54
