Track ID,ROI ID,Track  (um),Track duration (s),Track speed (um/s),x1,y1,x2,y2
1,0006-0180,1.013,110,-0.009,171,0,187,11
2,0006-0184,0.886,120,-0.007,176,0,190,12
3,0008-0170,1.266,150,-0.008,159,0,179,15
4,0008-0170,1.329,160,-0.008,160,0,181,16
5,0005-0084,0.949,110,-0.009,76,0,91,11
6,0006-0080,1.709,120,-0.014,67,0,94,12
7,0008-0077,2.469,150,-0.016,57,0,96,15
8,0008-0082,2.469,160,-0.015,62,0,101,16
