,tub conc,growth mean,growth std,time2nuc mean,time2nuc std,lifetime mean,lifetime std
22,10.0,0.5188235294117647,0.21100599378160972,1.014705882352941,2.9047726672436887,2.0588235294117645,1.0816351697882587
23,15.0,0.52,0.13133925536563698,2.1742424242424248,3.1942577898915467,7.828282828282826,4.953338669328392
31,7.5,0.31090909090909086,0.12533591228810245,4.704545454545455,4.983913516444074,5.606060606060606,4.759360792324443
32,12.5,0.46799999999999997,0.10410520994091559,3.616666666666666,3.3248136737135034,4.808333333333333,2.602447678269182
33,20.0,1.2920000000000003,0.3704461429514231,1.0333333333333337,1.9919137296864566,13.07777777777778,4.993047529022267
