Track ID,ROI ID,Track  (um),Track duration (s),Track speed (um/s),x1,y1,x2,y2
1,0017-0144,0.949,120,-0.008,137,11,152,23
2,0017-0142,1.139,160,-0.007,132,9,150,25
3,0050-0108,0.823,130,-0.006,102,44,115,57
4,0050-0106,0.633,140,-0.005,101,43,111,57
5,0012-0132,0.823,70,-0.012,126,8,139,15
6,0012-0132,0.696,70,-0.010,126,9,137,16
7,0016-0315,0.570,100,-0.006,310,11,319,21
8,0017-0309,0.823,110,-0.007,303,11,316,22
9,0012-0037,0.696,60,0.012,32,14,43,8
10,0012-0040,0.443,80,0.006,36,16,43,8
11,0017-0161,1.076,160,-0.007,152,9,169,25
12,0018-0159,1.013,190,-0.005,150,8,166,27
13,0012-0104,0.570,70,-0.008,99,9,108,16
14,0020-0103,0.570,220,-0.003,99,9,108,31
15,0021-0033,0.949,250,0.004,26,34,41,9
16,0022-0036,0.633,260,0.002,31,35,41,9
17,0012-0058,0.696,70,0.010,52,15,63,8
18,0012-0059,0.443,70,0.006,55,15,62,8
19,0012-0076,0.506,70,-0.007,72,8,80,15
20,0012-0074,0.316,70,-0.005,71,8,76,15
21,0012-0037,0.696,60,0.012,31,15,42,9
22,0012-0038,0.380,60,0.006,35,15,41,9
23,0012-0035,0.506,70,0.007,30,15,38,8
24,0011-0036,0.253,70,0.004,34,15,38,8
25,0012-0073,0.633,60,-0.011,68,9,78,15
26,0013-0071,0.380,60,-0.006,68,9,74,15
27,0078-0106,0.506,120,-0.004,102,72,110,84
28,0080-0105,0.253,110,-0.002,103,74,107,85
29,0011-0047,0.506,70,0.007,43,15,51,8
30,0012-0050,0.253,60,0.004,48,15,52,9
31,0011-0089,0.886,50,-0.018,81,9,95,14
32,0018-0089,0.949,180,-0.005,81,9,96,27
33,0014-0106,0.886,110,-0.008,99,8,113,19
34,0018-0104,0.823,190,-0.004,98,8,111,27
