Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID1594907,1594907,0,669.939,5.438,4.824,0,0.000,0,0.150,1,-10921639,3529.600,3525,2768,4312,17648,590.328,0.477,0.146,1.521
ID1594839,1594839,0,789.468,5.410,4.852,0,0.300,1,0.150,1,-10921639,3551.600,3284,2608,4523,17758,798.327,0.300,0.152,1.173
ID1594764,1594764,0,623.638,5.426,4.842,0,0.600,2,0.150,1,-10921639,3341.000,3494,2928,3588,16705,289.254,0.481,0.117,2.429
ID1595046,1595046,0,761.542,5.378,4.780,0,1.500,5,0.150,1,-10921639,3434.400,3328,3213,3832,17172,261.880,0.300,0.130,3.007
ID1595177,1595177,0,522.163,5.345,4.804,0,1.800,6,0.150,1,-10921639,3054.000,3091,2418,3521,15270,402.009,0.479,0.074,1.043
ID1595239,1595239,0,931.728,5.330,4.868,0,2.100,7,0.150,1,-10921639,3598.200,3733,3071,4001,17991,359.240,0.240,0.151,2.631
ID1595290,1595290,0,982.104,5.386,4.860,0,2.400,8,0.150,1,-10921639,3612.200,3546,3199,3978,18061,306.566,0.477,0.155,3.166
ID1595458,1595458,0,952.350,5.391,4.872,0,3.300,11,0.150,1,-10921639,3634.000,3669,3059,4012,18170,350.948,0.300,0.133,2.430
ID1595520,1595520,0,674.237,5.374,4.872,0,3.600,12,0.150,1,-10921639,3465.800,3432,2919,3928,17329,382.613,0.478,0.131,2.102
ID1595585,1595585,0,882.896,5.417,4.899,0,3.900,13,0.150,1,-10921639,3496.400,3545,3027,3757,17482,279.778,0.300,0.134,2.960
ID1595718,1595718,0,1152.653,5.407,4.864,0,4.200,14,0.150,1,-10921639,3661.000,3663,3410,3841,18305,158.356,0.300,0.164,6.519
ID1595649,1595649,0,605.432,5.442,4.902,0,4.500,15,0.150,1,-10921639,3545.400,3568,3218,4055,17727,331.258,0.240,0.126,2.397
ID1595838,1595838,0,1014.286,5.392,4.806,0,4.800,16,0.150,1,-10921639,3942.800,3690,3506,4488,19714,439.779,0.478,0.160,2.478
ID1595903,1595903,0,527.404,5.351,4.773,0,5.400,18,0.150,1,-10921639,2931.200,3087,2416,3101,14656,293.778,0.240,0.085,1.557
ID1595961,1595961,0,534.309,5.328,4.833,0,5.700,19,0.150,1,-10921639,3042.400,2952,2709,3467,15212,324.666,0.477,0.126,2.095
ID1594909,1594909,1,640.994,11.447,5.101,0,0.000,0,0.150,1,-10921639,3474.200,3590,2705,3927,17371,463.098,0.240,0.122,1.635
ID1594841,1594841,1,645.995,11.437,5.195,0,0.300,1,0.150,1,-10921639,3178.000,3031,2847,4047,15890,494.761,0.479,0.120,1.380
ID1594766,1594766,1,556.791,11.279,5.171,0,0.600,2,0.150,1,-10921639,2895.200,2761,2523,3314,14476,364.164,0.300,0.075,1.107
ID1595116,1595116,1,503.900,11.419,5.157,0,0.900,3,0.150,1,-10921639,3246.800,3338,2591,3521,16234,377.224,0.240,0.109,1.692
ID1594975,1594975,1,788.701,11.367,5.213,0,1.200,4,0.150,1,-10921639,2966.000,3283,2163,3434,14830,553.754,0.300,0.068,0.686
ID1595048,1595048,1,631.370,11.461,5.172,0,1.500,5,0.150,1,-10921639,3047.200,3143,2477,3279,15236,324.087,0.240,0.115,1.937
ID1595402,1595402,1,512.444,11.415,5.173,0,3.000,10,0.150,1,-10921639,3219.600,3168,2828,3732,16098,345.474,0.240,0.127,2.099
ID1595460,1595460,1,604.313,11.270,5.180,0,3.300,11,0.150,1,-10921639,3100.000,3027,2965,3450,15500,197.697,0.240,0.096,2.756
ID1595523,1595523,1,542.328,11.443,5.189,0,3.600,12,0.150,1,-10921639,3128.400,3022,2784,3741,15642,360.529,0.240,0.124,1.911
ID1595778,1595778,1,573.169,11.380,5.118,0,5.100,17,0.150,1,-10921639,3033.200,3078,2707,3491,15166,326.674,0.478,0.095,1.605
ID1595906,1595906,1,665.023,11.467,5.167,0,5.400,18,0.150,1,-10921639,3333.600,3289,2735,3853,16668,415.894,0.478,0.129,1.831
ID1596315,1596315,1,707.917,11.469,5.189,0,7.500,25,0.150,1,-10921639,2974.800,2946,2820,3191,14874,137.865,0.240,0.138,5.218
ID1596367,1596367,1,797.776,11.428,5.193,0,7.800,26,0.150,1,-10921639,3438.800,3382,2687,4315,17194,597.035,0.481,0.154,1.537
ID1594910,1594910,2,1036.946,18.108,5.132,0,0.000,0,0.150,1,-10921639,4048.200,3952,3618,4530,20241,339.482,0.240,0.203,4.030
ID1594842,1594842,2,1057.960,18.209,5.207,0,0.300,1,0.150,1,-10921639,3881.600,3852,3697,4180,19408,183.783,0.240,0.168,6.080
ID1594768,1594768,2,1277.916,18.249,5.213,0,0.600,2,0.150,1,-10921639,4286.600,4328,3812,4737,21433,338.840,0.240,0.205,4.305
ID1595117,1595117,2,1021.367,18.259,5.233,0,0.900,3,0.150,1,-10921639,3956.200,3918,3809,4131,19781,134.144,0.477,0.148,7.616
ID1594903,1594903,3,885.413,10.366,4.024,0,0.000,0,0.150,1,-10921639,3451.200,3390,3193,3759,17256,221.908,0.300,0.113,3.170
ID1594838,1594838,3,795.086,10.389,4.203,0,0.300,1,0.150,1,-10921639,3613.400,3641,3305,4012,18067,273.887,0.475,0.129,3.013
ID1595043,1595043,3,522.182,10.406,4.207,0,1.500,5,0.150,1,-10921639,3376.400,3393,2986,3839,16882,369.813,0.240,0.124,2.018
ID1595174,1595174,3,693.073,10.434,4.371,0,1.800,6,0.150,1,-10921639,3638.400,3603,2874,4168,18192,491.676,0.240,0.150,1.926
ID1595238,1595238,3,651.964,10.486,4.603,0,2.100,7,0.150,1,-10921639,3261.000,3286,3003,3443,16305,171.751,0.481,0.102,3.513
ID1595288,1595288,3,773.677,10.396,4.566,0,2.400,8,0.150,1,-10921639,3393.800,3456,2599,3879,16969,502.191,0.300,0.105,1.282
ID1595582,1595582,3,749.590,10.309,4.405,0,3.900,13,0.150,1,-10921639,3143.200,3253,2732,3388,15716,254.308,0.478,0.111,2.461
ID1595716,1595716,3,1020.440,10.415,4.447,0,4.200,14,0.150,1,-10921639,4085.800,3877,3176,5103,20429,718.152,0.478,0.174,1.690
ID1594889,1594889,4,573.479,5.091,1.620,0,0.000,0,0.150,1,-10921639,3034.000,2958,2699,3436,15170,298.038,0.240,0.117,2.133
ID1594824,1594824,4,532.489,5.001,1.552,0,0.300,1,0.150,1,-10921639,2929.200,3059,2365,3173,14646,322.216,0.240,0.076,1.291
ID1594891,1594891,5,975.948,10.981,1.807,0,0.000,0,0.150,1,-10921639,4144.000,3812,3230,5010,20720,786.360,0.300,0.182,1.624
ID1594826,1594826,5,919.780,10.934,1.979,0,0.300,1,0.150,1,-10921639,3757.400,3692,3348,4395,18787,390.920,0.480,0.142,2.384
ID1594752,1594752,5,1137.103,10.995,2.038,0,0.600,2,0.150,1,-10921639,4002.800,3818,3755,4708,20014,403.560,0.240,0.177,2.988
ID1595096,1595096,5,888.879,10.960,2.136,0,0.900,3,0.150,1,-10921639,4164.200,4154,3536,4945,20821,536.127,0.240,0.191,2.492
ID1594960,1594960,5,969.387,10.983,2.170,0,1.200,4,0.150,1,-10921639,3583.400,3666,2654,4109,17917,554.572,0.478,0.144,1.629
ID1595036,1595036,5,1196.247,11.048,2.307,0,1.500,5,0.150,1,-10921639,3965.800,4063,3432,4491,19829,412.435,0.240,0.200,3.208
ID1595166,1595166,5,1253.350,11.146,2.305,0,1.800,6,0.150,1,-10921639,3962.200,4141,3348,4307,19811,416.900,0.300,0.155,2.545
ID1595227,1595227,5,603.771,11.226,2.291,0,2.100,7,0.150,1,-10921639,3462.400,3483,3132,3941,17312,319.637,0.240,0.113,2.196
ID1595285,1595285,5,975.233,11.222,2.262,0,2.400,8,0.150,1,-10921639,3941.000,3847,3284,4631,19705,509.653,0.475,0.156,2.092
ID1595335,1595335,5,1067.483,11.238,2.328,0,2.700,9,0.150,1,-10921639,4507.200,4802,3963,4885,22536,449.399,0.240,0.174,2.975
ID1595394,1595394,5,1362.538,11.267,2.321,0,3.000,10,0.150,1,-10921639,4190.000,4579,2916,4972,20950,856.006,0.300,0.144,1.235
ID1595451,1595451,5,539.124,11.430,2.389,0,3.300,11,0.150,1,-10921639,3334.800,3284,2963,3709,16674,350.701,0.300,0.101,1.748
ID1595511,1595511,5,583.866,11.459,2.326,0,3.600,12,0.150,1,-10921639,3594.000,3708,3254,3865,17970,265.824,0.240,0.093,2.300
ID1595568,1595568,5,624.517,11.277,2.272,0,3.900,13,0.150,1,-10921639,3095.000,3220,2697,3234,15475,228.741,0.300,0.092,2.277
ID1595769,1595769,5,900.780,11.657,2.434,0,5.100,17,0.150,1,-10921639,3573.600,3578,3272,3904,17868,248.754,0.300,0.142,3.576
ID1595894,1595894,5,866.997,11.666,2.328,0,5.400,18,0.150,1,-10921639,3722.000,3764,3105,4361,18610,501.342,0.478,0.135,1.764
ID1594892,1594892,6,882.810,9.968,2.306,0,0.000,0,0.150,1,-10921639,3313.400,3369,2646,3839,16567,429.497,0.300,0.108,1.503
ID1594828,1594828,6,799.530,9.965,2.314,0,0.300,1,0.150,1,-10921639,3460.400,3511,3152,3612,17302,177.697,0.240,0.141,4.813
ID1594961,1594961,6,683.983,9.929,2.342,0,1.200,4,0.150,1,-10921639,3179.200,3213,2677,3608,15896,344.797,0.300,0.113,1.877
ID1595035,1595035,6,537.104,9.970,2.351,0,1.500,5,0.150,1,-10921639,3317.000,3232,3111,3617,16585,225.119,0.478,0.114,3.012
ID1595165,1595165,6,774.064,10.073,2.353,0,1.800,6,0.150,1,-10921639,3557.200,3520,3348,3904,17786,214.044,0.300,0.121,3.580
ID1595229,1595229,6,693.467,10.087,2.431,0,2.100,7,0.150,1,-10921639,3703.400,3732,3440,3989,18517,217.044,0.300,0.092,2.873
ID1595336,1595336,6,600.224,9.986,2.424,0,2.700,9,0.150,1,-10921639,3116.600,3086,2830,3484,15583,242.014,0.240,0.111,2.575
ID1595393,1595393,6,664.651,10.055,2.279,0,3.000,10,0.150,1,-10921639,3232.600,3273,2539,3803,16163,450.851,0.300,0.120,1.535
ID1595450,1595450,6,686.324,9.991,2.481,0,3.300,11,0.150,1,-10921639,3353.400,3376,2865,3653,16767,326.756,0.240,0.133,2.412
ID1595512,1595512,6,648.185,9.763,2.483,0,3.600,12,0.150,1,-10921639,3149.800,3046,2646,3757,15749,405.562,0.300,0.070,1.014
ID1595569,1595569,6,991.079,9.958,2.471,0,3.900,13,0.150,1,-10921639,4096.000,4213,3421,4634,20480,528.798,0.240,0.174,2.299
ID1595706,1595706,6,937.528,9.970,2.487,0,4.200,14,0.150,1,-10921639,3479.800,3563,2815,3789,17399,389.162,0.300,0.146,2.281
ID1596067,1596067,6,619.727,10.058,2.538,0,6.300,21,0.150,1,-10921639,3043.200,3034,3000,3133,15216,52.390,0.300,0.098,10.332
ID1596135,1596135,6,682.997,9.988,2.508,0,6.600,22,0.150,1,-10921639,3419.600,3581,2610,3683,17098,455.910,0.240,0.131,1.732
ID1596409,1596409,6,635.285,9.909,2.631,0,8.100,27,0.150,1,-10921639,3025.000,3213,2383,3608,15125,516.195,0.300,0.093,0.998
ID1596463,1596463,6,562.578,9.926,2.523,0,8.400,28,0.150,1,-10921639,3158.000,3228,2882,3383,15790,233.449,0.240,0.127,3.048
ID1596800,1596800,6,539.163,10.017,2.601,0,10.200,34,0.150,1,-10921639,3027.000,3068,2491,3454,15135,345.319,0.240,0.085,1.370
ID1596858,1596858,6,563.685,9.985,2.524,0,10.500,35,0.150,1,-10921639,2912.600,2951,2574,3433,14563,338.493,0.300,0.098,1.529
ID1596954,1596954,6,672.382,9.955,2.612,0,11.100,37,0.150,1,-10921639,3287.800,3219,2924,3973,16439,427.348,0.240,0.138,1.870
ID1597015,1597015,6,842.063,9.927,2.511,0,11.400,38,0.150,1,-10921639,3416.600,3481,2895,3809,17083,353.555,0.240,0.138,2.349
ID1597073,1597073,6,561.227,9.865,2.546,0,11.700,39,0.150,1,-10921639,3017.600,3059,2901,3093,15088,83.425,0.240,0.114,7.418
ID1597366,1597366,6,1414.272,10.100,2.375,0,12.900,43,0.150,1,-10921639,4306.400,3994,3913,4908,21532,477.578,0.240,0.214,3.184
ID1597305,1597305,6,849.576,10.189,2.451,0,13.200,44,0.150,1,-10921639,3347.800,3305,3125,3787,16739,268.438,0.475,0.145,3.164
ID1597809,1597809,6,1110.492,10.028,2.228,0,15.600,52,0.150,1,-10921639,3728.400,3790,3191,3959,18642,309.645,0.300,0.168,3.462
ID1597862,1597862,6,539.983,10.042,2.143,0,15.900,53,0.150,1,-10921639,3300.200,3216,2575,3983,16501,539.064,0.300,0.124,1.352
ID1597964,1597964,6,816.393,10.132,2.154,0,16.500,55,0.150,1,-10921639,3455.200,3355,3162,4037,17276,343.747,0.477,0.138,2.437
ID1598030,1598030,6,837.756,10.064,2.261,0,16.800,56,0.150,1,-10921639,3591.200,3796,2854,3925,17956,432.019,0.480,0.155,2.231
ID1598092,1598092,6,749.721,10.062,2.222,0,17.100,57,0.150,1,-10921639,3154.400,3094,2555,3550,15772,407.526,0.472,0.108,1.508
ID1598253,1598253,6,828.216,10.088,2.369,0,17.700,59,0.150,1,-10921639,3352.200,3224,2967,3794,16761,336.323,0.481,0.124,2.206
ID1598191,1598191,6,887.075,10.035,2.301,0,18.000,60,0.150,1,-10921639,3591.800,3663,2964,4404,17959,547.962,0.240,0.165,1.858
ID1598302,1598302,6,768.733,10.040,2.329,0,18.300,61,0.150,1,-10921639,3514.600,3659,2937,3999,17573,418.312,0.240,0.150,2.197
ID1598343,1598343,6,641.926,10.061,2.250,0,18.600,62,0.150,1,-10921639,3139.000,3097,2922,3545,15695,243.482,0.474,0.109,2.528
ID1598404,1598404,6,924.458,10.077,2.312,0,18.900,63,0.150,1,-10921639,3422.000,3474,3034,3653,17110,231.725,0.240,0.162,4.110
ID1598459,1598459,6,650.696,10.010,2.301,0,19.200,64,0.150,1,-10921639,3109.000,3200,2833,3339,15545,206.382,0.240,0.112,3.027
ID1598507,1598507,6,656.889,10.047,2.324,0,19.500,65,0.150,1,-10921639,3118.800,2923,2833,3640,15594,345.146,0.300,0.089,1.474
ID1598607,1598607,6,839.405,10.023,2.233,0,20.100,67,0.150,1,-10921639,3388.400,3305,3027,4118,16942,437.478,0.477,0.153,2.056
ID1598653,1598653,6,591.982,9.995,2.330,0,20.400,68,0.150,1,-10921639,3102.600,3250,2377,3515,15513,430.221,0.300,0.109,1.419
ID1598702,1598702,6,922.908,10.028,2.310,0,20.700,69,0.150,1,-10921639,3343.800,3321,2789,3779,16719,388.800,0.300,0.166,2.451
ID1598762,1598762,6,790.645,10.012,2.332,0,21.000,70,0.150,1,-10921639,3439.200,3378,3250,3716,17196,182.394,0.470,0.125,4.194
ID1598817,1598817,6,788.199,10.006,2.348,0,21.300,71,0.150,1,-10921639,3308.600,3360,2891,3928,16543,408.661,0.300,0.151,2.123
ID1598875,1598875,6,793.108,10.086,2.437,0,21.600,72,0.150,1,-10921639,3422.200,3364,2986,3847,17111,335.223,0.300,0.133,2.399
ID1598922,1598922,6,730.891,9.980,2.322,0,21.900,73,0.150,1,-10921639,3513.600,3646,2753,3902,17568,453.366,0.240,0.128,1.764
ID1598971,1598971,6,623.432,10.015,2.362,0,22.200,74,0.150,1,-10921639,3263.000,3170,2941,3718,16315,317.565,0.240,0.126,2.300
ID1599297,1599297,6,927.653,10.033,2.327,0,24.000,80,0.150,1,-10921639,3347.600,3478,2594,3994,16738,524.783,0.300,0.123,1.402
ID1599421,1599421,6,863.403,10.257,2.279,0,24.300,81,0.150,1,-10921639,3468.200,3555,2985,3819,17341,324.640,0.454,0.133,2.512
ID1599469,1599469,6,905.965,9.995,2.432,0,24.900,83,0.150,1,-10921639,3562.800,3559,3305,3953,17814,242.957,0.478,0.156,3.960
ID1599560,1599560,6,557.322,9.961,2.382,0,25.200,84,0.150,1,-10921639,3197.000,3091,2777,3569,15985,338.714,0.300,0.110,1.865
ID1599517,1599517,6,648.911,9.977,2.349,0,25.500,85,0.150,1,-10921639,3090.200,3004,2726,3640,15451,343.407,0.240,0.132,2.098
ID1594894,1594894,7,1120.492,14.729,2.620,0,0.000,0,0.150,1,-10921639,3692.400,3728,3110,4431,18462,499.531,0.300,0.152,1.949
ID1594831,1594831,7,502.615,14.837,2.658,0,0.300,1,0.150,1,-10921639,3234.400,3039,2918,3807,16172,363.035,0.477,0.092,1.495
ID1594754,1594754,7,674.351,14.826,2.561,0,0.600,2,0.150,1,-10921639,3450.800,3254,3136,4282,17254,471.098,0.300,0.124,1.618
ID1595100,1595100,7,777.729,14.830,2.621,0,0.900,3,0.150,1,-10921639,3641.800,3432,3346,4040,18209,352.653,0.478,0.137,2.483
ID1594964,1594964,7,984.033,14.762,2.534,0,1.200,4,0.150,1,-10921639,3753.200,3643,3491,4132,18766,280.308,0.240,0.170,3.882
ID1595513,1595513,7,1140.303,14.987,2.674,0,3.600,12,0.150,1,-10921639,3931.800,3858,3294,4446,19659,489.996,0.240,0.179,2.431
ID1595571,1595571,7,1184.037,15.051,2.467,0,3.900,13,0.150,1,-10921639,4258.000,4090,3537,5218,21290,635.262,0.240,0.192,2.159
ID1595704,1595704,7,1367.991,15.155,2.233,0,4.200,14,0.150,1,-10921639,4094.000,4201,3804,4329,20470,260.852,0.476,0.178,4.745
ID1595635,1595635,7,1427.351,15.322,2.112,0,4.500,15,0.150,1,-10921639,4234.600,4200,3724,4804,21173,517.574,0.300,0.190,2.615
ID1595828,1595828,7,1337.326,15.526,2.114,0,4.800,16,0.150,1,-10921639,4056.600,4046,3290,4622,20283,490.000,0.300,0.185,2.580
ID1594895,1594895,8,2238.828,20.218,2.876,0,0.000,0,0.150,1,-10921639,4735.600,4856,4065,5317,23678,479.542,0.300,0.237,3.790
ID1594832,1594832,8,879.122,20.239,2.892,0,0.300,1,0.150,1,-10921639,4137.200,4455,3265,4895,20686,693.930,0.475,0.182,1.833
ID1594756,1594756,8,1296.848,20.264,2.927,0,0.600,2,0.150,1,-10921639,4410.200,4324,3858,5417,22051,637.656,0.240,0.216,2.460
ID1595103,1595103,8,1489.066,20.251,2.941,0,0.900,3,0.150,1,-10921639,4324.200,4387,3460,4947,21621,539.638,0.300,0.211,2.794
ID1594966,1594966,8,1285.817,20.310,2.959,0,1.200,4,0.150,1,-10921639,4172.400,4212,3547,4685,20862,513.367,0.240,0.180,2.481
ID1595039,1595039,8,1821.156,20.345,3.037,0,1.500,5,0.150,1,-10921639,4528.600,4452,4041,5169,22643,505.930,0.300,0.217,3.197
ID1595167,1595167,8,1214.482,20.361,2.982,0,1.800,6,0.150,1,-10921639,4363.600,4368,3709,4950,21818,444.140,0.240,0.218,3.510
ID1594944,1594944,9,772.277,6.340,13.851,0,0.000,0,0.150,1,-10921639,3809.600,3503,3156,4990,19048,715.675,0.300,0.145,1.352
ID1594873,1594873,9,1399.751,6.238,13.938,0,0.300,1,0.150,1,-10921639,4464.000,4582,4005,4804,22320,377.732,0.240,0.213,4.145
ID1594799,1594799,9,1118.737,6.249,13.982,0,0.600,2,0.150,1,-10921639,3849.200,3787,3223,4676,19246,551.174,0.478,0.174,2.069
ID1594882,1594882,10,716.557,13.020,0.202,0,0.000,0,0.150,1,-10921639,3702.600,3617,3511,4067,18513,226.047,0.476,0.103,3.070
ID1594814,1594814,10,661.683,13.160,0.223,0,0.300,1,0.150,1,-10921639,3244.000,3267,2702,3854,16220,470.733,0.240,0.089,1.122
ID1594744,1594744,10,774.067,13.306,0.361,0,0.600,2,0.150,1,-10921639,3202.200,3372,2560,3584,16011,395.180,0.480,0.077,1.163
ID1595326,1595326,10,671.586,13.139,0.218,0,2.700,9,0.150,1,-10921639,3177.000,3322,2901,3338,15885,213.740,0.240,0.085,2.321
ID1595383,1595383,10,711.754,13.274,0.318,0,3.000,10,0.150,1,-10921639,3301.800,3310,3026,3592,16509,201.612,0.240,0.110,3.248
ID1595881,1595881,10,764.907,13.462,0.000,0,5.400,18,0.150,1,-10921639,3749.800,3824,3414,4113,18749,267.672,0.240,0.178,4.231
ID1595938,1595938,10,523.953,13.509,0.183,0,5.700,19,0.150,1,-10921639,3142.800,3172,2818,3484,15714,256.148,0.300,0.045,1.054
ID1596003,1596003,10,531.479,13.477,0.166,0,6.000,20,0.150,1,-10921639,3097.200,3192,2677,3508,15486,341.347,0.240,0.074,1.253
ID1594884,1594884,11,760.734,15.394,0.799,0,0.000,0,0.150,1,-10921639,3673.200,3528,3324,4159,18366,349.994,0.240,0.144,2.649
ID1594818,1594818,11,641.342,15.429,0.791,0,0.300,1,0.150,1,-10921639,3382.200,3476,2589,3811,16911,464.691,0.240,0.110,1.438
ID1594748,1594748,11,873.837,15.394,0.827,0,0.600,2,0.150,1,-10921639,3418.400,3555,3103,3684,17092,258.708,0.476,0.113,2.692
ID1595089,1595089,11,767.079,15.436,0.820,0,0.900,3,0.150,1,-10921639,3562.200,3544,3256,3936,17811,259.625,0.480,0.124,3.028
ID1594955,1594955,11,692.963,15.380,0.826,0,1.200,4,0.150,1,-10921639,3488.000,3454,3094,4006,17440,384.824,0.482,0.127,2.040
ID1595028,1595028,11,854.443,15.382,0.844,0,1.500,5,0.150,1,-10921639,3716.800,3703,3369,4350,18584,386.892,0.473,0.137,2.313
ID1595157,1595157,11,861.541,15.450,0.798,0,1.800,6,0.150,1,-10921639,3537.200,3617,2917,3910,17686,413.670,0.300,0.109,1.687
ID1595221,1595221,11,1140.436,15.501,0.754,0,2.100,7,0.150,1,-10921639,4290.200,4248,3751,4704,21451,395.870,0.240,0.173,3.199
ID1595278,1595278,11,1094.201,15.487,0.733,0,2.400,8,0.150,1,-10921639,4026.200,3771,3578,4589,20131,460.115,0.240,0.158,2.393
ID1595330,1595330,11,786.950,15.402,0.832,0,2.700,9,0.150,1,-10921639,3711.400,3750,3378,4183,18557,310.033,0.240,0.120,2.574
ID1595387,1595387,11,690.852,15.361,0.753,0,3.000,10,0.150,1,-10921639,3408.200,3441,2586,4139,17041,560.312,0.473,0.129,1.388
ID1595445,1595445,11,916.769,15.392,0.953,0,3.300,11,0.150,1,-10921639,3502.200,3762,2597,4002,17511,562.446,0.300,0.109,1.221
ID1595504,1595504,11,1108.311,15.430,0.894,0,3.600,12,0.150,1,-10921639,3907.000,4021,3398,4397,19535,470.084,0.460,0.144,2.097
ID1595560,1595560,11,839.448,15.493,0.861,0,3.900,13,0.150,1,-10921639,3820.800,3744,3474,4432,19104,382.440,0.240,0.131,2.319
ID1595695,1595695,11,571.345,15.397,0.860,0,4.200,14,0.150,1,-10921639,3298.800,3367,2702,3676,16494,359.018,0.240,0.104,1.724
ID1595627,1595627,11,1272.152,15.391,0.840,0,4.500,15,0.150,1,-10921639,4001.200,4032,3213,4473,20006,490.916,0.300,0.179,2.470
ID1595821,1595821,11,598.812,15.385,0.796,0,4.800,16,0.150,1,-10921639,3480.800,3304,3071,4387,17404,540.635,0.451,0.135,1.530
ID1595757,1595757,11,800.577,15.350,0.763,0,5.100,17,0.150,1,-10921639,3476.800,3773,2835,3866,17384,495.824,0.300,0.166,1.998
ID1595886,1595886,11,790.162,15.418,0.847,0,5.400,18,0.150,1,-10921639,3441.400,3402,2918,3924,17207,473.798,0.300,0.103,1.355
ID1595942,1595942,11,976.492,15.402,0.739,0,5.700,19,0.150,1,-10921639,3566.600,3802,2695,4115,17833,602.455,0.474,0.148,1.528
ID1596006,1596006,11,687.917,15.386,0.804,0,6.000,20,0.150,1,-10921639,3175.200,3083,2962,3457,15876,216.092,0.300,0.124,3.252
ID1596060,1596060,11,665.046,15.385,0.773,0,6.300,21,0.150,1,-10921639,3437.000,3391,3091,3892,17185,350.971,0.481,0.129,2.235
ID1596127,1596127,11,913.677,15.373,0.814,0,6.600,22,0.150,1,-10921639,3268.200,3442,2709,3725,16341,402.184,0.472,0.102,1.501
ID1596184,1596184,11,786.273,15.372,0.809,0,6.900,23,0.150,1,-10921639,3708.800,3635,3058,4421,18544,539.625,0.240,0.161,1.904
ID1596233,1596233,11,634.733,15.309,0.690,0,7.200,24,0.150,1,-10921639,3234.200,3299,3008,3403,16171,168.383,0.463,0.070,2.519
ID1596293,1596293,11,672.226,15.429,0.691,0,7.500,25,0.150,1,-10921639,3439.600,3454,3246,3709,17198,185.952,0.240,0.137,4.462
ID1594885,1594885,12,1405.060,4.309,0.917,0,0.000,0,0.150,1,-10921639,4583.800,4562,4215,4874,22919,275.750,0.240,0.235,6.336
ID1594821,1594821,12,1524.570,4.320,0.955,0,0.300,1,0.150,1,-10921639,4215.600,4199,3886,4611,21078,307.734,0.300,0.178,4.137
ID1594749,1594749,12,1420.774,4.341,0.902,0,0.600,2,0.150,1,-10921639,4036.600,4186,3406,4710,20183,549.167,0.300,0.193,2.382
ID1595088,1595088,12,1331.828,4.275,0.883,0,0.900,3,0.150,1,-10921639,4101.000,4225,3479,4955,20505,614.121,0.479,0.173,1.968
ID1594956,1594956,12,1777.086,4.347,0.963,0,1.200,4,0.150,1,-10921639,4739.400,4989,4094,5208,23697,504.846,0.240,0.258,3.856
ID1595029,1595029,12,1363.872,4.331,0.912,0,1.500,5,0.150,1,-10921639,4326.400,4347,3595,4760,21632,446.424,0.478,0.194,3.150
ID1595158,1595158,12,1055.664,4.344,0.930,0,1.800,6,0.150,1,-10921639,3693.800,3782,3361,3865,18469,206.603,0.474,0.153,4.747
ID1595222,1595222,12,1319.400,4.355,0.926,0,2.100,7,0.150,1,-10921639,4415.000,4307,3856,5328,22075,551.321,0.240,0.216,2.845
ID1595279,1595279,12,1319.300,4.360,0.976,0,2.400,8,0.150,1,-10921639,4560.800,4854,3897,5088,22804,603.871,0.240,0.223,2.757
ID1595332,1595332,12,1343.505,4.376,0.900,0,2.700,9,0.150,1,-10921639,4170.400,3990,3477,5220,20852,658.924,0.240,0.207,2.171
ID1595388,1595388,12,1262.449,4.329,0.955,0,3.000,10,0.150,1,-10921639,4150.000,4069,3584,4818,20750,498.950,0.240,0.217,2.969
ID1595444,1595444,12,1133.598,4.369,0.964,0,3.300,11,0.150,1,-10921639,4427.800,4771,3587,5060,22139,688.871,0.240,0.229,2.391
ID1595503,1595503,12,1163.824,4.374,0.941,0,3.600,12,0.150,1,-10921639,4143.400,4354,3039,5265,20717,916.972,0.479,0.199,1.499
ID1595561,1595561,12,1490.626,4.306,0.919,0,3.900,13,0.150,1,-10921639,4313.600,4249,3961,4766,21568,313.430,0.240,0.223,5.019
ID1595696,1595696,12,546.806,4.293,0.965,0,4.200,14,0.150,1,-10921639,3316.400,3303,2919,3962,16582,424.146,0.300,0.087,1.252
ID1595628,1595628,12,1238.135,4.349,0.937,0,4.500,15,0.150,1,-10921639,3705.200,3785,3376,3926,18526,247.949,0.300,0.167,4.280
ID1595823,1595823,12,1576.796,4.341,0.925,0,4.800,16,0.150,1,-10921639,4367.600,4476,3750,4647,21838,362.053,0.240,0.199,4.001
ID1595762,1595762,12,981.149,4.354,0.953,0,5.100,17,0.150,1,-10921639,3834.200,3658,3410,4412,19171,434.655,0.478,0.173,2.607
ID1595887,1595887,12,1302.333,4.335,0.951,0,5.400,18,0.150,1,-10921639,4157.200,4178,3297,4936,20786,592.633,0.300,0.185,2.188
ID1595945,1595945,12,1010.307,4.348,0.947,0,5.700,19,0.150,1,-10921639,3685.600,3633,3449,4198,18428,304.306,0.240,0.154,3.240
ID1596007,1596007,12,2046.857,4.381,0.994,0,6.000,20,0.150,1,-10921639,4949.000,5016,4161,5444,24745,507.229,0.240,0.257,3.986
