Track ID,ROI ID,Track  (um),Track duration (s),Track speed (um/s),x1,y1,x2,y2
1,0002-0050-0109,5.634,490,-0.011,65,26,154,75
2,0002-0097-0117,6.646,1420,-0.005,65,26,170,168
3,0002-0068-0076,1.836,130,-0.014,61,61,90,74
4,0002-0073-0079,2.279,220,-0.010,61,61,97,83
5,0002-0079-0094,4.114,340,-0.012,61,62,126,96
6,0002-0107-0094,4.241,890,-0.005,61,62,128,151
7,0002-0030-0073,0.886,100,-0.009,66,25,80,35
8,0002-0031-0073,0.823,120,-0.007,66,25,79,37
9,0002-0079-0127,7.406,490,-0.015,68,55,185,104
10,0002-0108-0113,5.570,1060,-0.005,68,55,156,161
11,0002-0080-0093,2.469,330,-0.007,74,63,113,96
12,0002-0111-0092,2.215,960,-0.002,74,63,109,159
13,0002-0063-0133,9.938,710,-0.014,54,27,211,98
14,0002-0097-0121,8.356,1390,-0.006,54,27,186,166
15,0002-0112-0121,6.140,240,-0.026,73,100,170,124
16,0002-0132-0112,4.937,640,-0.008,73,100,151,164
17,0002-0102-0146,9.558,520,-0.018,71,76,222,128
18,0002-0124-0127,7.153,960,-0.007,71,76,184,172
19,0002-0087-0112,3.481,210,-0.017,84,77,139,98
20,0002-0118-0108,2.975,820,-0.004,84,77,131,159
21,0002-0066-0154,4.241,200,-0.021,120,56,187,76
22,0002-0070-0157,4.621,280,-0.017,120,56,193,84
23,0002-0049-0138,2.152,170,-0.013,120,40,154,57
24,0002-0050-0139,2.279,180,-0.013,120,40,156,58
25,0002-0055-0100,4.241,280,-0.015,67,41,134,69
26,0002-0094-0106,5.001,1070,-0.005,67,41,146,148
27,0002-0085-0111,5.380,340,-0.016,68,67,153,101
28,0002-0108-0102,4.241,810,-0.005,68,67,135,148
29,0002-0071-0190,15.382,1000,-0.015,68,21,311,121
30,0002-0071-0188,15.192,1010,-0.015,68,21,308,122
31,0002-0030-0094,0.823,90,-0.009,87,26,100,35
32,0002-0031-0094,0.823,100,-0.008,87,26,100,36
33,0002-0038-0058,0.760,70,-0.011,52,34,64,41
34,0002-0040-0058,0.760,100,-0.008,52,34,64,44
35,0002-0107-0104,4.241,130,-0.033,71,101,138,114
36,0002-0126-0095,3.038,510,-0.006,71,101,119,152
37,0002-0054-0132,8.609,670,-0.013,64,21,200,88
38,0002-0084-0118,6.710,1270,-0.005,64,21,170,148
39,0002-0083-0089,2.912,640,0.005,66,114,112,50
40,0002-0102-0095,2.279,1020,0.002,76,152,112,50
41,0002-0074-0126,7.912,500,-0.016,64,48,189,98
42,0002-0097-0115,6.393,970,-0.007,64,48,165,145
43,0002-0029-0041,1.266,90,-0.014,31,25,51,34
44,0002-0037-0045,1.836,240,-0.008,31,25,60,49
45,0002-0062-0071,5.697,370,-0.015,25,43,115,80
46,0002-0064-0068,5.317,400,-0.013,25,43,109,83
47,0002-0102-0119,5.950,250,-0.024,72,89,166,114
48,0002-0114-0114,5.380,510,-0.011,72,89,157,140
49,0002-0042-0092,4.051,360,-0.011,60,23,124,59
50,0002-0084-0096,4.621,1210,-0.004,60,23,133,144
51,0002-0054-0094,3.861,210,-0.018,63,43,124,64
52,0002-0098-0094,3.988,1110,-0.004,63,43,126,154
53,0001-0053-0108,5.191,390,-0.013,66,34,148,73
54,0001-0094-0095,3.608,1190,-0.003,66,34,123,153
55,0002-0110-0088,6.900,310,0.022,33,126,142,95
56,0002-0125-0092,6.393,600,0.011,41,155,142,95
57,0002-0112-0090,4.051,320,-0.013,57,95,121,127
58,0002-0124-0084,3.292,560,-0.006,57,95,109,151
