,tub conc,growth mean,growth std,time2nuc mean,time2nuc std,lifetime mean,lifetime std
11,10,1.1029411764705874,0.2408909375268741,3.866596638655462,5.111654980366038,8.085815602836885,6.405350382110978
12,12,0.6348214285714275,0.0925472332961668,4.770833333333334,6.695848872813181,5.81091180866966,4.700960757945424
14,14,1.1869767441860464,0.2016595392423622,3.878875968992249,4.275313458916916,9.780000000000001,7.355221489127425
22,6,0.42209302325581377,0.07480370067884949,7.620639534883719,6.8147852709427434,3.9999999999999996,2.9843409405885915
24,8,1.104525547445255,0.2088060273629983,1.9396289537712887,4.419372093750409,8.38827160493827,6.261648870366586
