Date,Investigator,CH,[Tubulin] $(\mu M)$,[DCX] $(\mu M)$,Length $(\mu m)$,Lifetime $(min)$,Growth Rate $(\mu m / min)$,Time to Nucleate $(min)$,Shrink Length $(\mu m)$,Shrink Lifetime $(min)$,Shrink Rate $(\mu m / min)$,Rescues,DCX Type
2020-03-09,Sofia,11,6.0,100.0,4.241099999999999,6.607333333333333,0.6418777116335385,0.22672216092795136,1.266,9.230833333333333,0.1371490475760585,True,WT
2020-03-09,Sofia,11,6.0,100.0,4.1777999999999995,7.967666666666667,0.5243442245743212,0.42105549426128464,1.4559,0.9716666666666666,1.4983533447684392,True,WT
2020-03-09,Sofia,11,6.0,100.0,3.9246,8.842166666666666,0.44385048913350805,1.3927221609279514,1.5824999999999998,1.0688333333333333,1.4805863090597222,True,WT
2020-03-09,Sofia,11,6.0,100.0,3.2283,4.469666666666667,0.7222686255500037,2.170055494261285,0.633,0.38866666666666666,1.6286449399656948,True,WT
2020-03-09,Sofia,11,6.0,100.0,3.7979999999999996,8.259166666666667,0.45985268893149017,0.42105549426128464,1.4559,1.3603333333333334,1.0702523891203135,True,WT
2020-03-09,Sofia,11,6.0,100.0,5.633699999999999,10.299666666666667,0.546978866629988,0.323888827594618,0.633,0.4858333333333333,1.302915951972556,True,WT
2020-03-09,Sofia,11,6.0,100.0,3.1649999999999996,6.024333333333333,0.5253693354728047,1.2955554942612848,0.44309999999999994,0.38866666666666666,1.1400514579759862,True,WT
2020-03-09,Sofia,11,6.0,100.0,5.570399999999999,13.020333333333333,0.42782314840889885,0.323888827594618,2.3421,2.0405,1.1478069100710608,True,WT
2020-03-09,Sofia,11,6.0,100.0,6.1400999999999994,11.465666666666667,0.5355205395819402,1.489888827594618,1.4559,1.3603333333333334,1.0702523891203135,True,WT
2020-03-09,Sofia,11,6.0,100.0,8.608799999999999,22.4455,0.3835423581564233,0.615388827594618,6.6465,3.692333333333333,1.8000812494357679,True,WT
2020-03-09,Sofia,11,6.0,100.0,8.735399999999998,14.477833333333333,0.6033637629940023,0.8097221609279514,6.0135,6.801666666666667,0.8841215388385198,True,WT
2020-03-09,Sofia,11,6.0,100.0,5.7603,11.757166666666668,0.489939469543399,0.42105549426128464,3.1649999999999996,2.915,1.085763293310463,True,WT
2020-03-09,Sofia,11,6.0,100.0,6.266699999999999,11.174166666666668,0.5608203445447086,0.22672216092795136,1.9623,2.3320000000000003,0.8414665523156087,True,WT
2020-03-09,Sofia,11,6.0,100.0,11.457299999999998,16.809833333333334,0.6815832003093426,0.42105549426128464,8.7987,3.4008333333333334,2.587218818916932,True,WT
2020-03-09,Sofia,11,6.0,100.0,3.7979999999999996,6.607333333333333,0.5748158611643628,0.42105549426128464,1.0128,0.7773333333333333,1.3029159519725557,True,WT
2020-03-09,Sofia,11,6.0,100.0,6.1400999999999994,12.728833333333334,0.48237727992877055,0.7125554942612846,2.4053999999999998,2.1376666666666666,1.125245594885389,True,WT
2020-03-09,Sofia,11,6.0,100.0,2.6586,5.635666666666666,0.471745430886615,0.323888827594618,0.633,0.5830000000000001,1.085763293310463,True,WT
2020-03-09,Sofia,11,6.0,100.0,4.874099999999999,7.2875,0.6688301886792453,0.5182221609279514,0.44309999999999994,0.4858333333333333,0.912041166380789,True,WT
2020-03-09,Sofia,11,6.0,100.0,3.0383999999999998,5.441333333333334,0.558392550845381,0.615388827594618,1.1394,0.7773333333333333,1.4657804459691253,True,WT
2020-03-09,Sofia,11,6.0,100.0,3.7979999999999996,5.247,0.7238421955403087,0.42105549426128464,0.2532,0.19433333333333333,1.3029159519725557,True,WT
2020-03-09,Sofia,11,6.0,100.0,4.304399999999999,7.7733333333333325,0.5537392795883361,0.42105549426128464,1.0760999999999998,0.6801666666666667,1.582112227395246,True,WT
2020-03-09,Sofia,11,6.0,100.0,8.545499999999999,13.894833333333334,0.6150127745324999,0.323888827594618,1.3925999999999998,0.9716666666666666,1.4332075471698114,True,WT
2020-03-09,Sofia,11,6.0,100.0,2.9751,4.178166666666667,0.7120587179384897,0.5182221609279514,1.0128,0.7773333333333333,1.3029159519725557,True,WT
2020-03-09,Sofia,11,6.0,100.0,2.2155,4.3725000000000005,0.506689536878216,0.323888827594618,0.8229,0.38866666666666666,2.117238421955403,True,WT
2020-03-09,Sofia,11,6.0,100.0,7.3427999999999995,13.991999999999999,0.5247855917667238,0.323888827594618,1.2026999999999999,0.8744999999999999,1.3753001715265867,True,WT
2020-03-09,Sofia,11,6.0,100.0,2.1521999999999997,3.4008333333333334,0.6328448909580984,0.5182221609279514,0.44309999999999994,0.38866666666666666,1.1400514579759862,True,WT
2020-03-09,Sofia,11,6.0,100.0,5.7603,10.008166666666666,0.5755599593665174,0.7125554942612846,0.9494999999999999,0.6801666666666667,1.3959813771134524,True,WT
2020-03-09,Sofia,11,6.0,100.0,10.6344,17.004166666666666,0.6253996569468268,0.615388827594618,5.570399999999999,4.469666666666667,1.2462674323215748,True,WT
2020-03-09,Sofia,11,6.0,100.0,3.2283,5.635666666666666,0.5728337375051754,1.1012221609279513,0.633,0.5830000000000001,1.085763293310463,True,WT
2020-03-09,Sofia,11,6.0,100.0,6.899699999999999,13.506166666666667,0.5108555351259301,0.22672216092795136,1.3293,0.7773333333333333,1.7100771869639793,True,WT
2020-03-09,Sofia,11,6.0,100.0,4.6209,6.315833333333333,0.731637419184589,0.323888827594618,0.5064,0.8744999999999999,0.579073756432247,True,WT
