Date,Investigator,CH,[Tubulin] $(\mu M)$,[DCX] $(\mu M)$,Length $(\mu m)$,Lifetime $(min)$,Growth Rate $(\mu m / min)$,Time to Nucleate $(min)$,Shrink Length $(\mu m)$,Shrink Lifetime $(min)$,Shrink Rate $(\mu m / min)$,Rescues,DCX Type
2020-03-04,Sofia,12,7.0,0.0,1.7723999999999998,3.0276666666666667,0.5854012991302432,4.61475,1.7723999999999998,0.09766666666666668,18.14744027303754,False,None
2020-03-04,Sofia,12,7.0,0.0,3.8613,5.371666666666667,0.7188271796462922,0.41508333333333336,3.9879,0.19533333333333333,20.41587030716724,False,None
2020-03-04,Sofia,12,7.0,0.0,1.6458,2.2463333333333333,0.7326606321412672,1.09875,1.7090999999999998,0.09766666666666668,17.499317406143344,False,None
2020-03-04,Sofia,12,7.0,0.0,2.532,4.199666666666666,0.602904992459719,0.8057500000000001,2.532,0.19533333333333333,12.962457337883961,False,None
2020-03-04,Sofia,12,7.0,0.0,2.9751,3.8089999999999997,0.7810711472827513,19.948416666666667,2.9751,0.09766666666666668,30.461774744027306,False,None
2020-03-04,Sofia,12,7.0,0.0,2.532,4.297333333333333,0.5892026062674527,8.912083333333333,2.532,0.09766666666666668,25.924914675767923,False,None
2020-03-04,Sofia,12,7.0,0.0,5.3805,7.129666666666667,0.7546636121370797,0.51275,5.2539,0.29300000000000004,17.931399317406143,False,None
2020-03-04,Sofia,12,7.0,0.0,4.6209,7.227333333333334,0.639364449774006,3.052083333333333,4.8108,0.09766666666666668,49.25733788395904,False,None
2020-03-04,Sofia,12,7.0,0.0,7.659299999999999,10.157333333333334,0.7540660278288264,0.3174166666666667,7.8492,0.39066666666666666,20.091808873720137,False,None
2020-03-04,Sofia,12,7.0,0.0,3.5447999999999995,6.836666666666668,0.5184982935153583,1.7824166666666668,3.6714,0.09766666666666668,37.591126279863474,False,None
2020-03-04,Sofia,12,7.0,0.0,2.4687,3.9066666666666663,0.6319197952218429,12.916416666666667,2.4687,0.19533333333333333,12.63839590443686,False,None
2020-03-04,Sofia,12,7.0,0.0,0.9495,1.2696666666666667,0.7478340771856129,0.9034166666666668,1.0128,0.09766666666666668,10.369965870307167,False,None
2020-03-04,Sofia,12,7.0,0.0,1.8357,3.1253333333333333,0.5873613481228669,3.638083333333334,1.8357,0.09766666666666668,18.795563139931737,False,None
2020-03-04,Sofia,12,7.0,0.0,0.8229,1.3673333333333335,0.6018283764017551,1.2940833333333337,0.8229,,,False,None
2020-03-04,Sofia,12,7.0,0.0,11.457299999999998,18.36133333333333,0.6239906324885628,16.139416666666666,11.457299999999998,0.4883333333333333,23.46204778156996,False,None
2020-03-04,Sofia,12,7.0,0.0,11.5206,17.970666666666666,0.6410780531236089,8.228416666666668,11.7738,0.6836666666666668,17.221550463188688,False,None
2020-03-04,Sofia,12,7.0,0.0,,,,,,,,False,None
2020-03-04,Sofia,12,7.0,0.0,1.5824999999999998,2.93,0.5401023890784982,24.53875,1.6458,0.09766666666666668,16.851194539249143,False,None
2020-03-04,Sofia,12,7.0,0.0,1.4559,2.051,0.7098488542174548,1.09875,1.5192,0.09766666666666668,15.554948805460752,False,None
2020-03-04,Sofia,12,7.0,0.0,2.9118,4.6880000000000015,0.6211177474402729,0.6104166666666667,2.9751,0.09766666666666668,30.461774744027306,False,None
2020-03-04,Sofia,12,7.0,0.0,5.000699999999998,7.227333333333334,0.6919149524951571,0.41508333333333336,5.064,0.29300000000000004,17.283276450511945,False,None
2020-03-04,Sofia,12,7.0,0.0,6.0768,8.497000000000002,0.7151700600211838,15.74875,6.329999999999999,0.09766666666666668,64.81228668941978,False,None
2020-03-04,Sofia,12,7.0,0.0,0.5697,1.0743333333333334,0.5302823456407074,0.8057500000000001,0.5697,,,False,None
2020-03-04,Sofia,12,7.0,0.0,3.9879,6.0553333333333335,0.6585764615215237,0.51275,4.2410999999999985,0.39066666666666666,10.856058020477814,False,None
2020-03-04,Sofia,12,7.0,0.0,8.7987,12.208333333333336,0.7207126279863479,3.2474166666666666,8.7987,0.5860000000000001,15.01484641638225,False,None
2020-03-04,Sofia,12,7.0,0.0,2.7219,4.981,0.5464565348323629,13.014083333333335,2.9118,0.19533333333333333,14.906825938566554,False,None
2020-03-04,Sofia,12,7.0,0.0,6.6465,10.450333333333333,0.636008420784026,20.729750000000006,6.6465,0.39066666666666666,17.013225255972696,False,None
2020-03-04,Sofia,12,7.0,0.0,3.2283,5.078666666666667,0.635658965607771,0.21975,3.2916,0.09766666666666668,33.702389078498285,False,None
2020-03-04,Sofia,12,7.0,0.0,2.7852,3.2230000000000003,0.8641638225255971,2.56375,2.7852,0.19533333333333333,14.258703071672356,False,None
2020-03-04,Sofia,12,7.0,0.0,2.4687,4.492666666666667,0.5494954741059503,0.6104166666666667,2.4687,0.09766666666666668,25.27679180887372,False,None
2020-03-04,Sofia,12,7.0,0.0,12.2169,18.06833333333333,0.6761498016788118,0.6104166666666667,12.1536,0.7813333333333333,15.554948805460752,False,None
2020-03-04,Sofia,12,7.0,0.0,0.8861999999999999,1.465,0.604914675767918,3.3450833333333336,0.8861999999999999,0.09766666666666668,9.07372013651877,False,None
2020-03-04,Sofia,12,7.0,0.0,1.6458,2.637,0.6241183162684869,1.97775,1.6458,0.09766666666666668,16.851194539249143,False,None
2020-03-04,Sofia,12,7.0,0.0,2.5953,3.9066666666666663,0.6643259385665529,16.627750000000002,2.6586,0.09766666666666668,27.22116040955631,False,None
2020-03-04,Sofia,12,7.0,0.0,1.9623,2.93,0.6697269624573379,1.7824166666666668,1.9623,0.09766666666666668,20.091808873720137,False,None
2020-03-04,Sofia,12,7.0,0.0,17.090999999999998,24.807333333333336,0.6889495041788717,0.41508333333333336,17.090999999999998,0.879,19.443686006825935,False,None
2020-03-04,Sofia,12,7.0,0.0,15.6351,20.314666666666668,0.76964590443686,3.052083333333333,16.0782,0.7813333333333333,20.577901023890785,True,None
2020-03-04,Sofia,12,7.0,0.0,2.4687,4.004333333333333,0.6165071172896028,7.056416666666667,2.532,0.19533333333333333,12.962457337883961,False,None
2020-03-04,Sofia,12,7.0,0.0,7.1529,10.548,0.6781285551763367,0.9034166666666668,7.406099999999999,0.09766666666666668,75.83037542662116,False,None
2020-03-04,Sofia,12,7.0,0.0,1.3293,2.441666666666667,0.5444232081911262,20.33908333333333,1.266,,,False,None
2020-03-04,Sofia,12,7.0,0.0,2.2155,3.320666666666667,0.667185304155792,0.9034166666666668,2.2788,0.19533333333333333,11.666211604095563,False,None
2020-03-04,Sofia,12,7.0,0.0,2.4054,3.7113333333333336,0.6481228668941978,10.377083333333333,2.3421,0.09766666666666668,23.98054607508532,False,None
2020-03-04,Sofia,12,7.0,0.0,3.4815,4.6880000000000015,0.7426407849829351,2.6614166666666668,3.5447999999999995,0.19533333333333333,18.14744027303754,False,None
2020-03-04,Sofia,12,7.0,0.0,7.532699999999998,10.743333333333334,0.7011511014582685,0.6104166666666667,7.532699999999998,0.19533333333333333,38.563310580204785,False,None
2020-03-04,Sofia,12,7.0,0.0,1.0760999999999998,1.9533333333333331,0.5509044368600682,2.466083333333333,1.0760999999999998,,,False,None
2020-03-04,Sofia,12,7.0,0.0,0.8861999999999999,1.465,0.604914675767918,4.712416666666667,0.8861999999999999,,,False,None
2020-03-04,Sofia,12,7.0,0.0,6.962999999999999,10.450333333333333,0.6662945360594558,1.2940833333333337,7.406099999999999,0.39066666666666666,18.95759385665529,True,None
2020-03-04,Sofia,12,7.0,0.0,1.266,2.1486666666666667,0.5892026062674527,4.126416666666667,1.3293,,,False,None
2020-03-04,Sofia,12,7.0,0.0,1.3925999999999998,1.9533333333333331,0.7129351535836177,1.196416666666667,1.5192,0.09766666666666668,15.554948805460752,False,None
2020-03-04,Sofia,12,7.0,0.0,10.1913,13.478000000000002,0.7561433447098975,1.09875,10.4445,0.09766666666666668,106.94027303754268,False,None
2020-03-04,Sofia,12,7.0,0.0,3.6714,4.6880000000000015,0.7831484641638223,1.2940833333333337,3.8613,0.19533333333333333,19.767747440273034,False,None
2020-03-04,Sofia,12,7.0,0.0,1.1394,2.1486666666666667,0.5302823456407074,3.3450833333333336,1.266,0.09766666666666668,12.962457337883961,False,None
2020-03-04,Sofia,12,7.0,0.0,0.7595999999999999,1.2696666666666667,0.5982672617484903,0.51275,0.7595999999999999,,,False,None
2020-03-04,Sofia,12,7.0,0.0,0.8861999999999999,1.2696666666666667,0.6979784720399054,0.21975,0.8861999999999999,,,False,None
2020-03-04,Sofia,12,7.0,0.0,1.2027,1.6603333333333334,0.7243726159405741,1.6847500000000002,1.266,,,False,None
2020-03-04,Sofia,12,7.0,0.0,4.1145,5.274,0.7801478953356086,0.21975,4.2410999999999985,0.19533333333333333,21.712116040955628,False,None
2020-03-04,Sofia,12,7.0,0.0,1.0760999999999998,2.2463333333333333,0.4790473364000593,2.075416666666667,1.2027,0.09766666666666668,12.31433447098976,False,None
2020-03-04,Sofia,12,7.0,0.0,3.4815,5.469333333333334,0.6365492442710872,3.9310833333333335,3.4815,0.09766666666666668,35.64675767918089,False,None
2020-03-04,Sofia,12,7.0,0.0,3.2916,4.395,0.7489419795221843,3.9310833333333335,0.7595999999999999,0.09766666666666668,7.777474402730376,True,None
2020-03-04,Sofia,12,7.0,0.0,4.3043999999999984,6.934333333333332,0.6207373936451472,2.173083333333333,4.3043999999999984,0.19533333333333333,22.036177474402727,False,None
2020-03-04,Sofia,12,7.0,0.0,2.9751,5.176333333333334,0.5747504668684396,5.982083333333334,3.2283,0.19533333333333333,16.527133105802047,False,None
2020-03-04,Sofia,12,7.0,0.0,2.8485,4.199666666666666,0.6782681165171837,1.4894166666666668,2.8485,0.19533333333333333,14.582764505119453,False,None
2020-03-04,Sofia,12,7.0,0.0,6.7731,11.329333333333333,0.5978374720489584,21.706416666666666,7.026299999999999,0.4883333333333333,14.388327645051193,False,None
2020-03-04,Sofia,12,7.0,0.0,0.8229,1.1720000000000002,0.7021331058020477,6.861083333333334,0.8229,0.09766666666666668,8.425597269624571,False,None
2020-03-04,Sofia,12,7.0,0.0,1.3293,2.441666666666667,0.5444232081911262,1.196416666666667,1.3925999999999998,0.09766666666666668,14.258703071672356,False,None
2020-03-04,Sofia,12,7.0,0.0,2.6586,5.86,0.4536860068259385,2.7590833333333338,2.7852,0.09766666666666668,28.51740614334471,False,None
2020-03-04,Sofia,12,7.0,0.0,2.0256,3.2230000000000003,0.6284827800186161,7.349416666666667,1.899,,,False,None
2020-03-04,Sofia,12,7.0,0.0,0.7595999999999999,1.6603333333333334,0.4574984942782573,1.5870833333333334,0.8229,,,False,None
