,tub conc,growth mean,growth std,time2nuc mean,time2nuc std,lifetime mean,lifetime std
11,14,0.8595652173913041,0.17491549394554837,3.1690821256038637,4.978715259943779,10.711195928753183,7.3304721815791885
32,12,0.6957983193277313,0.16372515103641577,2.946078431372549,4.643842847582495,7.871468926553674,5.150830939011108
24,10,0.5034782608695646,0.08869642458339592,6.934132292827938,6.8069113596905915,6.3249158249158235,4.586160496032395
33,8,0.5916923076923076,0.11177438474379227,2.3346153846153843,4.058329337013678,7.914507772020725,5.206891711827225
21,6,0.25436619718309833,0.06998951075142086,8.208920187793431,7.778078007200661,3.4413145539906105,1.9821104145501882
