Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID1637396,1637396,4386,715.687,19.08,0.0,0,297.9,993,0.15,1,-10921639,3484.6,3777,2696,3788,17423,472.98400000000004,0.48,0.19,2.354
ID1637429,1637429,4386,789.4010000000001,19.207,0.244,0,298.2,994,0.15,1,-10921639,3337.4,3312,2928,3809,16687,360.332,0.479,0.11599999999999999,1.926
